id,merchant_id,merchant_name,merchant_ciiu,amount_in_cents,created_date,payment_method_type,status
1000086,1013,Comercio_1013,G4751,217181,2025-03-19 22:11:46,PSE,APPROVED
1000087,1042,Comercio_1042,G4741,86379,2025-06-18 10:24:40,CARD,DECLINED
1000088,1017,Comercio_1017,G4773,250753,2025-07-03 15:39:12,CARD,APPROVED
1000089,1044,Comercio_1044,G4741,106003,2025-04-15 02:31:13,CARD,APPROVED
1000090,1043,Comercio_1043,G4741,46600,2025-05-25 13:07:26,NEQUI,APPROVED
1000091,1041,Comercio_1041,G4741,64691,2025-05-21 21:21:36,CASH,APPROVED
1000092,1004,Comercio_1004,G4711,64450,2025-06-02 12:57:45,NEQUI,APPROVED
1000093,1038,Comercio_1038,H4922,31887,2025-06-20 01:31:40,BANCOLOMBIA,APPROVED
1000094,1040,Comercio_1040,G4741,88029,2025-06-06 22:29:11,NEQUI,APPROVED
1000095,1010,Comercio_1010,G4751,174920,2025-06-25 15:05:29,NEQUI,DECLINED
1000096,1034,Comercio_1034,G4791,333788,2025-03-17 11:47:19,CARD,DECLINED
1000097,1046,Comercio_1046,G4761,40863,2025-07-09 03:49:10,PSE,APPROVED
1000098,1015,Comercio_1015,G4773,89977,2025-03-03 05:15:19,CARD,DECLINED
1000099,1010,Comercio_1010,G4751,373933,2025-04-01 14:36:57,NEQUI,APPROVED
1000100,1029,Comercio_1029,S9602,23493,2025-03-10 06:44:59,CASH,APPROVED
1000101,1024,Comercio_1024,R9311,57933,2025-05-27 16:35:11,NEQUI,APPROVED
1000102,1017,Comercio_1017,G4773,36805,2025-07-30 14:54:31,CARD,APPROVED
1000103,1040,Comercio_1040,G4741,65986,2025-07-08 20:44:13,NEQUI,APPROVED
1000104,1044,Comercio_1044,G4741,104746,2025-07-06 11:19:45,CARD,APPROVED
1000105,1035,Comercio_1035,H4922,9543,2025-03-08 01:53:14,CASH,APPROVED
1000106,1014,Comercio_1014,G4751,170977,2025-03-24 11:42:13,CARD,APPROVED
1000107,1043,Comercio_1043,G4741,112250,2025-06-15 19:43:10,,DECLINED
1000108,1020,Comercio_1020,R9311,32989,2025-07-08 03:21:47,CASH,APPROVED
1000109,1049,Comercio_1049,G4761,27607,2025-04-21 13:18:34,BANCOLOMBIA,APPROVED
1000110,1049,Comercio_1049,G4761,44398,2025-05-25 21:39:24,BANCOLOMBIA,REFUNDED
1000111,1003,Comercio_1003,G4711,46318,2025-05-04 19:44:43,CASH,APPROVED
1000112,1014,Comercio_1014,G4751,479864,2025-04-20 22:34:57,NEQUI,APPROVED
1000113,1002,Comercio_1002,G4711,19041,2025-07-05 10:54:08,PSE,APPROVED
1000114,1020,Comercio_1020,R9311,90756,2025-07-17 08:10:30,CASH,APPROVED
1000115,1025,Comercio_1025,S9602,44980,2025-08-05 05:09:39,BANCOLOMBIA,DECLINED
1000116,1017,Comercio_1017,G4773,39996,2025-05-12 01:42:12,CARD,APPROVED
1000117,1004,Comercio_1004,G4711,21848,2025-05-31 21:16:28,BANCOLOMBIA,APPROVED
1000118,1013,Comercio_1013,G4751,212478,2025-05-03 15:13:22,BANCOLOMBIA,APPROVED
1000119,1036,Comercio_1036,H4922,21276,2025-04-09 03:57:03,CASH,APPROVED
1000120,1045,Comercio_1045,G4761,17245,2025-06-27 21:08:11,BANCOLOMBIA,DECLINED
1000121,1020,Comercio_1020,R9311,69876,2025-07-05 15:11:24,CASH,DECLINED
1000122,1013,Comercio_1013,G4751,217907,2025-07-05 00:54:39,CASH,APPROVED
1000123,1041,Comercio_1041,G4741,114710,2025-07-15 15:23:35,PSE,DECLINED
1000124,1031,Comercio_1031,G4791,48762,2025-06-07 04:43:12,NEQUI,APPROVED
1000125,1025,Comercio_1025,S9602,45931,2025-03-03 06:42:14,BANCOLOMBIA,APPROVED
1000126,1041,Comercio_1041,G4741,164047,2025-07-18 18:46:38,BANCOLOMBIA,APPROVED
1000127,1029,Comercio_1029,S9602,34479,2025-07-04 19:38:15,NEQUI,DECLINED
1000128,1009,Comercio_1009,I5610,114239,2025-02-15 23:38:41,NEQUI,APPROVED
1000129,1016,Comercio_1016,G4773,48756,2025-02-15 23:27:24,NEQUI,APPROVED
1000130,1008,Comercio_1008,I5610,70017,2025-04-07 19:17:39,PSE,APPROVED
1000131,1015,Comercio_1015,G4773,73423,2025-07-17 21:26:46,PSE,APPROVED
1000132,1047,Comercio_1047,G4761,95569,2025-07-17 07:16:21,CASH,APPROVED
1000133,1035,Comercio_1035,H4922,32004,2025-06-20 15:52:54,BANCOLOMBIA,APPROVED
1000134,1034,Comercio_1034,G4791,209688,2025-06-20 12:39:20,BANCOLOMBIA,APPROVED
1000135,1016,Comercio_1016,G4773,18403,2025-05-16 19:34:25,PSE,APPROVED
1000136,1047,Comercio_1047,G4761,29333,2025-07-11 09:34:44,CASH,APPROVED
1000137,1037,Comercio_1037,H4922,11902,2025-06-27 05:33:47,CARD,APPROVED
1000138,1027,Comercio_1027,S9602,44673,2025-06-29 21:30:43,BANCOLOMBIA,DECLINED
1000139,1037,Comercio_1037,H4922,28599,2025-06-05 01:52:06,NEQUI,APPROVED
1000140,1025,Comercio_1025,S9602,58897,2025-05-08 14:34:41,BANCOLOMBIA,DECLINED
1000141,1023,Comercio_1023,R9311,48324,2025-06-22 17:22:41,CASH,APPROVED
1000142,1014,Comercio_1014,G4751,347040,2025-06-01 13:16:52,NEQUI,DECLINED
1000143,1008,Comercio_1008,I5610,19957,2025-05-08 12:58:55,CARD,APPROVED
1000144,1032,Comercio_1032,G4791,230052,2025-03-31 16:36:38,PSE,APPROVED
1000145,1031,Comercio_1031,G4791,75900,2025-08-04 06:49:32,NEQUI,APPROVED
1000146,1005,Comercio_1005,I5610,26164,2025-05-05 16:21:55,CASH,APPROVED
1000147,1048,Comercio_1048,G4761,67200,2025-08-03 07:22:04,CARD,APPROVED
1000148,1003,Comercio_1003,G4711,17067,2025-03-10 06:43:59,PSE,APPROVED
1000149,1007,Comercio_1007,I5610,36603,2025-03-08 11:01:10,CASH,APPROVED
1000150,1009,Comercio_1009,I5610,31629,2025-07-06 09:42:26,NEQUI,APPROVED
1000151,1040,Comercio_1040,G4741,206759,2025-06-04 23:27:58,PSE,APPROVED
1000152,1010,Comercio_1010,G4751,436956,2025-08-04 20:17:47,PSE,APPROVED
1000153,1043,Comercio_1043,G4741,140829,2025-05-31 21:28:58,BANCOLOMBIA,APPROVED
1000154,1027,Comercio_1027,S9602,83004,2025-03-13 15:02:01,BANCOLOMBIA,APPROVED
1000155,1038,Comercio_1038,H4922,23840,2025-03-27 14:33:40,BANCOLOMBIA,APPROVED
1000156,1004,Comercio_1004,G4711,38337,2025-05-31 16:29:18,CARD,APPROVED
1000157,1024,Comercio_1024,R9311,35473,2025-06-12 10:30:38,NEQUI,APPROVED
1000158,1024,Comercio_1024,R9311,75728,2025-05-21 08:08:49,PSE,APPROVED
1000159,1038,Comercio_1038,H4922,27064,2025-06-07 16:22:26,CARD,APPROVED
1000160,1029,Comercio_1029,S9602,26266,2025-03-10 02:07:02,CASH,DECLINED
1000161,1033,Comercio_1033,G4791,129569,2025-07-30 18:58:01,NEQUI,APPROVED
1000162,1016,Comercio_1016,G4773,81704,2025-05-19 11:20:22,PSE,APPROVED
1000163,1035,Comercio_1035,H4922,49698,2025-07-15 17:29:30,CARD,APPROVED
1000164,1000,Comercio_1000,G4711,37194,2025-07-12 22:32:55,CASH,APPROVED
1000165,1043,Comercio_1043,G4741,59685,2025-02-25 00:03:12,BANCOLOMBIA,APPROVED
1000166,1046,Comercio_1046,G4761,99793,2025-02-26 23:27:22,NEQUI,APPROVED
1000167,1007,Comercio_1007,I5610,28500,2025-06-28 16:25:54,CARD,APPROVED
1000168,1043,Comercio_1043,G4741,46958,2025-06-22 15:38:24,BANCOLOMBIA,APPROVED
1000169,1034,Comercio_1034,G4791,56078,2025-03-14 15:36:27,PSE,APPROVED
1000170,1048,Comercio_1048,G4761,51901,2025-02-28 18:57:26,PSE,DECLINED
1000171,1017,Comercio_1017,G4773,21412,2025-08-13 04:24:23,PSE,APPROVED
1000172,1049,Comercio_1049,G4761,24313,2025-06-30 13:17:39,BANCOLOMBIA,APPROVED
1000173,1041,Comercio_1041,G4741,94704,2025-04-25 19:28:34,,APPROVED
1000174,1021,Comercio_1021,R9311,68659,2025-05-10 00:15:31,BANCOLOMBIA,APPROVED
1000175,1007,Comercio_1007,I5610,22328,2025-03-16 11:24:20,CARD,REFUNDED
1000176,1018,Comercio_1018,G4773,62118,2025-03-23 02:04:33,CASH,APPROVED
1000177,1027,Comercio_1027,S9602,39669,2025-07-16 00:46:52,BANCOLOMBIA,APPROVED
1000178,1010,Comercio_1010,G4751,321961,2025-04-15 03:31:13,NEQUI,APPROVED
1000179,1029,Comercio_1029,S9602,45823,2025-03-01 09:48:46,CARD,APPROVED
1000180,1000,Comercio_1000,G4711,34756,2025-04-11 03:24:29,CASH,APPROVED
1000181,1046,Comercio_1046,G4761,23408,2025-03-19 13:36:11,PSE,APPROVED
1000182,1046,Comercio_1046,G4761,15931,2025-03-21 23:45:06,NEQUI,APPROVED
1000183,1016,Comercio_1016,G4773,114757,2025-05-14 05:39:12,BANCOLOMBIA,APPROVED
1000184,1032,Comercio_1032,G4791,169683,2025-07-16 07:18:11,PSE,APPROVED
1000185,1048,Comercio_1048,G4761,15767,2025-07-16 20:18:06,NEQUI,APPROVED
1000186,1011,Comercio_1011,G4751,144498,2025-06-05 11:44:49,PSE,APPROVED
1000187,1032,Comercio_1032,G4791,210189,2025-02-25 11:01:43,BANCOLOMBIA,APPROVED
1000188,1006,Comercio_1006,I5610,85773,2025-04-15 14:22:56,PSE,APPROVED
1000189,1040,Comercio_1040,G4741,55141,2025-05-12 20:42:47,BANCOLOMBIA,APPROVED
1000190,1019,Comercio_1019,G4773,119238,2025-04-10 21:30:58,CASH,APPROVED
1000191,1040,Comercio_1040,G4741,98538,2025-05-31 16:22:31,PSE,APPROVED
1000192,1032,Comercio_1032,G4791,157077,2025-05-19 01:25:01,CASH,APPROVED
1000193,1038,Comercio_1038,H4922,11463,2025-03-05 21:30:44,NEQUI,REFUNDED
1000194,1012,Comercio_1012,G4751,147678,2025-02-16 12:55:18,,APPROVED
1000195,1009,Comercio_1009,I5610,60079,2025-04-16 23:51:22,NEQUI,APPROVED
1000196,1023,Comercio_1023,R9311,66173,2025-05-01 15:33:30,CASH,APPROVED
1000197,1048,Comercio_1048,G4761,45192,2025-04-11 08:33:05,NEQUI,APPROVED
1000198,1010,Comercio_1010,G4751,110615,2025-05-20 15:34:08,NEQUI,APPROVED
1000199,1034,Comercio_1034,G4791,61907,2025-06-09 01:53:07,PSE,APPROVED
1000200,1049,Comercio_1049,G4761,35658,2025-06-12 03:48:57,BANCOLOMBIA,APPROVED
1000201,1033,Comercio_1033,G4791,177151,2025-07-27 14:22:35,NEQUI,DECLINED
1000202,1000,Comercio_1000,G4711,41813,2025-02-28 08:26:54,CASH,APPROVED
1000203,1038,Comercio_1038,H4922,38034,2025-03-07 12:55:46,BANCOLOMBIA,APPROVED
1000204,1020,Comercio_1020,R9311,62523,2025-05-01 00:45:56,PSE,APPROVED
1000205,1031,Comercio_1031,G4791,119694,2025-08-08 13:36:04,NEQUI,APPROVED
1000206,1001,Comercio_1001,G4711,19237,2025-06-09 15:52:36,CARD,APPROVED
1000207,1007,Comercio_1007,I5610,42739,2025-04-18 08:50:56,PSE,APPROVED
1000208,1023,Comercio_1023,R9311,56404,2025-07-22 12:01:19,BANCOLOMBIA,APPROVED
1000209,1019,Comercio_1019,G4773,34194,2025-08-11 09:32:00,CASH,DECLINED
1000210,1015,Comercio_1015,G4773,89407,2025-06-11 23:17:47,BANCOLOMBIA,APPROVED
1000211,1003,Comercio_1003,G4711,38208,2025-03-02 06:25:09,CASH,APPROVED
1000212,1015,Comercio_1015,G4773,32682,2025-03-29 21:48:22,NEQUI,APPROVED
1000213,1036,Comercio_1036,H4922,11413,2025-02-21 15:42:48,CARD,APPROVED
1000214,1005,Comercio_1005,I5610,34163,2025-07-02 06:49:39,CARD,APPROVED
1000215,1005,Comercio_1005,I5610,42514,2025-06-23 09:16:31,CARD,APPROVED
1000216,1046,Comercio_1046,G4761,37837,2025-04-24 17:27:18,,APPROVED
1000217,1031,Comercio_1031,G4791,69797,2025-02-23 19:31:23,NEQUI,APPROVED
1000218,1004,Comercio_1004,G4711,26069,2025-08-05 07:25:20,CARD,APPROVED
1000219,1048,Comercio_1048,G4761,31026,2025-05-18 15:11:55,CASH,APPROVED
1000220,1034,Comercio_1034,G4791,169217,2025-06-04 21:50:50,CARD,DECLINED
1000221,1049,Comercio_1049,G4761,31349,2025-06-15 21:22:02,BANCOLOMBIA,APPROVED
1000222,1008,Comercio_1008,I5610,37304,2025-07-27 10:56:38,CARD,DECLINED
1000223,1008,Comercio_1008,I5610,24639,2025-04-09 19:26:11,CASH,APPROVED
1000224,1042,Comercio_1042,G4741,69659,2025-07-20 22:35:44,CARD,DECLINED
1000225,1030,Comercio_1030,G4791,82624,2025-03-20 18:24:16,,APPROVED
1000226,1035,Comercio_1035,H4922,21625,2025-05-22 01:04:07,BANCOLOMBIA,APPROVED
1000227,1010,Comercio_1010,G4751,119676,2025-08-13 18:34:16,PSE,APPROVED
1000228,1016,Comercio_1016,G4773,65157,2025-03-20 14:30:17,BANCOLOMBIA,APPROVED
1000229,1033,Comercio_1033,G4791,91007,2025-08-13 13:32:44,NEQUI,APPROVED
1000230,1038,Comercio_1038,H4922,15846,2025-03-26 12:12:06,BANCOLOMBIA,REFUNDED
1000231,1027,Comercio_1027,S9602,41536,2025-05-15 10:40:46,BANCOLOMBIA,APPROVED
1000232,1013,Comercio_1013,G4751,267556,2025-05-25 20:46:37,PSE,APPROVED
1000233,1034,Comercio_1034,G4791,106203,2025-02-18 04:19:44,PSE,APPROVED
1000234,1048,Comercio_1048,G4761,13682,2025-07-24 17:32:41,NEQUI,APPROVED
1000235,1046,Comercio_1046,G4761,11968,2025-08-06 15:47:02,,APPROVED
1000236,1044,Comercio_1044,G4741,107438,2025-04-25 12:54:43,CASH,DECLINED
1000237,1012,Comercio_1012,G4751,268945,2025-03-29 07:37:10,CASH,DECLINED
1000238,1045,Comercio_1045,G4761,51945,2025-03-25 19:30:36,BANCOLOMBIA,APPROVED
1000239,1019,Comercio_1019,G4773,35244,2025-06-01 08:01:03,CASH,APPROVED
1000240,1025,Comercio_1025,S9602,63187,2025-03-18 22:18:55,BANCOLOMBIA,APPROVED
1000241,1042,Comercio_1042,G4741,47205,2025-03-14 23:30:27,CARD,APPROVED
1000242,1041,Comercio_1041,G4741,164816,2025-05-31 07:16:21,BANCOLOMBIA,APPROVED
1000243,1023,Comercio_1023,R9311,157154,2025-07-06 02:07:12,PSE,APPROVED
1000244,1028,Comercio_1028,S9602,36917,2025-04-02 00:27:44,PSE,APPROVED
1000245,1033,Comercio_1033,G4791,90565,2025-07-11 15:14:17,NEQUI,APPROVED
1000246,1028,Comercio_1028,S9602,29853,2025-04-13 12:01:19,CASH,APPROVED
1000247,1007,Comercio_1007,I5610,27996,2025-03-05 08:10:57,PSE,DECLINED
1000248,1015,Comercio_1015,G4773,33447,2025-03-12 03:22:04,NEQUI,APPROVED
1000249,1014,Comercio_1014,G4751,278723,2025-02-21 10:50:26,NEQUI,APPROVED
1000250,1004,Comercio_1004,G4711,40939,2025-05-28 23:39:08,CARD,APPROVED
1000251,1021,Comercio_1021,R9311,82163,2025-02-26 19:05:29,CARD,APPROVED
1000252,1001,Comercio_1001,G4711,38086,2025-07-18 08:34:44,PSE,APPROVED
1000253,1037,Comercio_1037,H4922,45746,2025-03-07 02:06:48,PSE,APPROVED
1000254,1035,Comercio_1035,H4922,42753,2025-08-09 21:15:10,BANCOLOMBIA,APPROVED
1000255,1014,Comercio_1014,G4751,126066,2025-04-10 08:56:57,NEQUI,APPROVED
1000256,1037,Comercio_1037,H4922,27622,2025-04-30 15:50:41,,APPROVED
1000257,1014,Comercio_1014,G4751,365884,2025-07-20 07:08:34,NEQUI,APPROVED
1000258,1000,Comercio_1000,G4711,76284,2025-04-29 19:46:53,CASH,APPROVED
1000259,1004,Comercio_1004,G4711,11677,2025-05-03 15:19:57,BANCOLOMBIA,APPROVED
1000260,1045,Comercio_1045,G4761,42505,2025-06-02 13:02:39,BANCOLOMBIA,APPROVED
1000261,1040,Comercio_1040,G4741,90222,2025-03-30 15:31:33,NEQUI,APPROVED
1000262,1003,Comercio_1003,G4711,50411,2025-03-31 10:28:06,NEQUI,APPROVED
1000263,1014,Comercio_1014,G4751,146017,2025-08-01 11:15:41,CASH,APPROVED
1000264,1004,Comercio_1004,G4711,51879,2025-06-03 15:31:42,PSE,APPROVED
1000265,1002,Comercio_1002,G4711,10949,2025-02-23 12:39:20,NEQUI,APPROVED
1000266,1021,Comercio_1021,R9311,48489,2025-07-11 23:31:47,CARD,APPROVED
1000267,1004,Comercio_1004,G4711,39362,2025-02-20 15:08:41,NEQUI,APPROVED
1000268,1032,Comercio_1032,G4791,84062,2025-03-28 12:41:08,CASH,APPROVED
1000269,1015,Comercio_1015,G4773,65599,2025-06-01 05:38:38,PSE,APPROVED
1000270,1017,Comercio_1017,G4773,25403,2025-05-08 09:47:48,CARD,APPROVED
1000271,1042,Comercio_1042,G4741,61250,2025-03-16 07:03:06,CARD,DECLINED
1000272,1031,Comercio_1031,G4791,100239,2025-05-26 05:57:37,NEQUI,REFUNDED
1000273,1013,Comercio_1013,G4751,236389,2025-05-07 19:15:21,CARD,DECLINED
1000274,1034,Comercio_1034,G4791,262588,2025-03-13 17:27:18,BANCOLOMBIA,APPROVED
1000275,1008,Comercio_1008,I5610,32130,2025-04-13 07:29:03,CARD,APPROVED
1000276,1046,Comercio_1046,G4761,79290,2025-06-09 10:16:22,,APPROVED
1000277,1036,Comercio_1036,H4922,11569,2025-04-13 04:11:09,CARD,APPROVED
1000278,1036,Comercio_1036,H4922,8041,2025-06-21 09:04:19,NEQUI,APPROVED
1000279,1030,Comercio_1030,G4791,120615,2025-03-16 18:54:25,BANCOLOMBIA,APPROVED
1000280,1015,Comercio_1015,G4773,104559,2025-03-09 08:26:39,PSE,APPROVED
1000281,1030,Comercio_1030,G4791,114062,2025-07-25 04:53:02,BANCOLOMBIA,APPROVED
1000282,1026,Comercio_1026,S9602,48841,2025-02-25 20:11:05,CASH,APPROVED
1000283,1012,Comercio_1012,G4751,536883,2025-03-18 03:07:04,,DECLINED
1000284,1006,Comercio_1006,I5610,41935,2025-05-25 14:30:29,NEQUI,APPROVED
1000285,1006,Comercio_1006,I5610,24550,2025-08-12 18:07:31,NEQUI,APPROVED
1000286,1042,Comercio_1042,G4741,112625,2025-04-30 17:00:03,CARD,DECLINED
1000287,1027,Comercio_1027,S9602,68769,2025-05-22 12:23:08,BANCOLOMBIA,APPROVED
1000288,1022,Comercio_1022,R9311,47611,2025-03-10 18:21:48,CARD,APPROVED
1000289,1027,Comercio_1027,S9602,63955,2025-04-09 01:20:32,BANCOLOMBIA,APPROVED
1000290,1026,Comercio_1026,S9602,18763,2025-03-15 03:02:43,CARD,APPROVED
1000291,1029,Comercio_1029,S9602,75386,2025-03-28 15:07:54,PSE,APPROVED
1000292,1046,Comercio_1046,G4761,23061,2025-05-20 13:06:30,PSE,APPROVED
1000293,1003,Comercio_1003,G4711,12305,2025-04-27 07:26:21,CASH,APPROVED
1000294,1043,Comercio_1043,G4741,112952,2025-06-24 04:05:31,CASH,APPROVED
1000295,1041,Comercio_1041,G4741,104083,2025-08-11 00:21:42,BANCOLOMBIA,APPROVED
1000296,1041,Comercio_1041,G4741,53568,2025-04-20 12:25:20,CASH,APPROVED
